,5
XLon,-122.958333333
YLat,62.7083333333
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,-0.034134515374806586
1983-08-01,-0.03413667726218265
1983-09-01,-0.03416042933636377
1983-10-01,-0.0341059299388362
1983-11-01,-0.03525169484136131
1983-12-01,-0.03560248235724156
1984-01-01,-0.035680410201596915
1984-02-01,-0.03505449884712372
1984-03-01,-0.034618071294374914
1984-04-01,-0.04189049868393923
1984-05-01,-0.06761739410204765
1984-06-01,-0.04244811397502056
1984-07-01,-0.042618974664556636
1984-08-01,-0.04276506456371844
1984-09-01,-0.04290924131483311
1984-10-01,-0.04267449444596528
1984-11-01,-0.043012072711344426
1984-12-01,-0.048768552378962604
1985-01-01,-0.03801217056162202
1985-02-01,-0.05659227959692483
1985-03-01,-0.07422092154071257
1985-04-01,-0.032391414331156436
1985-05-01,-0.03621525404155631
1985-06-01,-0.03624723052842557
1985-07-01,-0.03619717813284767
1985-08-01,-0.0361172140966494
1985-09-01,-0.0359893963964828
1985-10-01,-0.03593536840101954
1985-11-01,-0.03490143613027097
1985-12-01,-0.025367752236553905
1986-01-01,-0.02677758321934694
1986-02-01,-0.023519225599414738
1986-03-01,-0.016705338609151542
1986-04-01,-0.03359683164722263
1986-05-01,-0.045665614548902646
1986-06-01,-0.04542878137959131
1986-07-01,-0.045315948722640526
1986-08-01,-0.0452707176285717
1986-09-01,-0.04508593187709515
1986-10-01,-0.04532877762598235
1986-11-01,-0.04750849626839344
1986-12-01,-0.05279306547886401
1987-01-01,-0.047316274099770836
1987-02-01,-0.05341492127489797
1987-03-01,-0.05039373910006962
1987-04-01,0.07469658371800939
1987-05-01,-0.44666884128021217
1987-06-01,-0.22312670241618943
1987-07-01,-0.22345779395824233
1987-08-01,-0.22391895210612883
1987-09-01,-0.2243374820888381
1987-10-01,-0.22484333697098788
1987-11-01,-0.22912294614708842
1987-12-01,-0.26119233129849084
1988-01-01,-0.1575313613104703
1988-02-01,-0.15644709698686446
1988-03-01,-0.15626727806436347
1988-04-01,-0.15446859018898637
1988-05-01,-0.09198292746301903
1988-06-01,-0.08809558006353968
1988-07-01,-0.08798984692690054
1988-08-01,-0.08792625090782445
1988-09-01,-0.08784359432421159
1988-10-01,-0.08779512041314547
1988-11-01,-0.08703712436132187
1988-12-01,-0.09061221550374797
1989-01-01,-0.09543556083561623
1989-02-01,-0.1027262585807168
1989-03-01,-0.10509184080242515
1989-04-01,-0.10571713010783416
1989-05-01,-0.10622164228879402
1989-06-01,-0.10686146350086968
1989-07-01,-0.10681351850572354
1989-08-01,-0.10683768838833702
1989-09-01,-0.10663389552688929
1989-10-01,-0.10569129918278844
1989-11-01,-0.10180869223390505
1989-12-01,-0.12895004836587193
1990-01-01,-0.12925971404081574
1990-02-01,-0.13193061663346006
1990-03-01,-0.15586509875975668
1990-04-01,0.1457593152088597
1990-05-01,0.24403846310763336
1990-06-01,0.10136293849303014
1990-07-01,0.10127572663970277
1990-08-01,0.10146893637254309
1990-09-01,0.10087881907909861
1990-10-01,0.09931886945678983
1990-11-01,0.125867890357425
1990-12-01,0.09582968849801025
1991-01-01,0.385618477501629
1991-02-01,0.2263542007446634
1991-03-01,0.23244271980857942
1991-04-01,0.21392104899349917
1991-05-01,0.6118743965874708
1991-06-01,0.31831354842780013
1991-07-01,0.31832938890792706
1991-08-01,0.31834957464920133
1991-09-01,0.3184124880828411
1991-10-01,0.31949268349268917
1991-11-01,0.3220179712689469
1991-12-01,0.3126013493157691
1992-01-01,0.37246671694387756
1992-02-01,0.3489532470182881
1992-03-01,0.34296070078960417
1992-04-01,0.33069364937319196
1992-05-01,0.32528107498573305
1992-06-01,0.32515221557911567
1992-07-01,0.32531554818890357
1992-08-01,0.32547250287633983
1992-09-01,0.3258675277930626
1992-10-01,0.32602316576909746
1992-11-01,0.3234467458293519
1992-12-01,0.3213684471296714
1993-01-01,0.310380411045105
1993-02-01,0.27207235916238726
1993-03-01,0.28033724952982425
1993-04-01,0.2993010540218067
1993-05-01,0.6609816916929057
1993-06-01,0.3486436289571494
1993-07-01,0.34872167419544425
1993-08-01,0.34881167657465634
1993-09-01,0.3487609248079843
1993-10-01,0.3485896949399478
1993-11-01,0.3517538299829843
1993-12-01,0.3389073405939236
1994-01-01,0.33597470169239185
1994-02-01,0.33566481002663323
1994-03-01,0.3316107064699669
1994-04-01,0.2225105544365131
1994-05-01,0.30040080252715606
1994-06-01,0.2843149052172799
1994-07-01,0.2842406529670179
1994-08-01,0.2841716890076979
1994-09-01,0.2840752111104701
1994-10-01,0.28399220387454227
1994-11-01,0.28265393505988706
1994-12-01,0.2397080285138221
1995-01-01,0.2552858701304669
1995-02-01,0.25434945131982484
1995-03-01,0.25899313921315215
1995-04-01,0.25805897352281504
1995-05-01,0.25781092402271943
1995-06-01,0.25786852060773807
1995-07-01,0.2579493865313085
1995-08-01,0.25816779554009206
1995-09-01,0.2584095281926138
1995-10-01,0.2581190310676862
1995-11-01,0.257460255386698
1995-12-01,0.25691373204896706
1996-01-01,0.25653754693713177
1996-02-01,0.25669468231639214
1996-03-01,0.2434909456010327
1996-04-01,0.02344830636243031
1996-05-01,0.18583900144416263
1996-06-01,0.04838091036930302
1996-07-01,0.0486028977424335
1996-08-01,0.048920592362630605
1996-09-01,0.049186823340160536
1996-10-01,0.049214126216774255
1996-11-01,0.049321015339142356
1996-12-01,0.08539450354710648
1997-01-01,0.07291000674439525
1997-02-01,0.0714410234593906
1997-03-01,0.06915955909024271
1997-04-01,0.07619498015614566
1997-05-01,0.18244198457282934
1997-06-01,0.1707531849028747
1997-07-01,0.17064825647809428
1997-08-01,0.17039820995389252
1997-09-01,0.1699618471776521
1997-10-01,0.17037746549073599
1997-11-01,0.14959562021978315
1997-12-01,0.1158638059196696
1998-01-01,0.20654958345273033
1998-02-01,0.19380846901210902
1998-03-01,0.1953176277326258
1998-04-01,0.1952761829891684
1998-05-01,0.19534530357582652
1998-06-01,0.19536578670299692
1998-07-01,0.19543303171152596
1998-08-01,0.19540200923137013
1998-09-01,0.19542352999792909
1998-10-01,0.19551285628601806
1998-11-01,0.19527398945331226
1998-12-01,0.19500889558925627
1999-01-01,0.19600899047283404
1999-02-01,0.1964625403580191
1999-03-01,0.19511395947099774
1999-04-01,0.16025820381389666
1999-05-01,0.34644580816882986
1999-06-01,0.294585338837967
1999-07-01,0.29505530689151244
1999-08-01,0.29527030346145516
1999-09-01,0.2944357043212085
1999-10-01,0.29413892639033795
1999-11-01,0.2875422433681076
1999-12-01,0.31999593884337774
2000-01-01,0.32001806872343774
2000-02-01,0.3330203070067317
2000-03-01,0.33635352358495163
2000-04-01,0.24677925556121452
2000-05-01,0.30098836351459274
2000-06-01,0.26184535563926176
2000-07-01,0.2628663110366359
2000-08-01,0.2650838072217095
2000-09-01,0.266217494952835
2000-10-01,0.2702256107884876
2000-11-01,0.299711868101538
2000-12-01,0.2947410048347119
2001-01-01,0.14992961576246375
2001-02-01,0.21638422435225632
2001-03-01,0.20161603975299108
2001-04-01,0.201403602107546
2001-05-01,0.20057914834184257
2001-06-01,0.20112672426686626
2001-07-01,0.20299644944833586
2001-08-01,0.1917915307398857
2001-09-01,0.1933399791166807
2001-10-01,0.19221305830381422
2001-11-01,0.1920204174382857
2001-12-01,0.19081375259417283
2002-01-01,0.19850989683948614
