,4
XLon,-123.041666667
YLat,62.7083333333
1982-01-01,0.25054690940366287
1982-02-01,0.24991619497634215
1982-03-01,0.24927941983739205
1982-04-01,0.24863909783278085
1982-05-01,0.24799905542813833
1982-06-01,0.24736228555385537
1982-07-01,0.24672978030431356
1982-08-01,0.24610096995983277
1982-09-01,0.24547406330348545
1982-10-01,0.2448461829112241
1982-11-01,0.24420262642427623
1982-12-01,0.24349097110350515
1983-01-01,0.24277919085382937
1983-02-01,0.2420864214064167
1983-03-01,0.2414499027019352
1983-04-01,0.24087998457992968
1983-05-01,0.24036280335538054
1983-06-01,0.239881682150606
1983-07-01,0.23941877144006046
1983-08-01,0.23894364566226478
1983-09-01,0.23842642203382153
1983-10-01,0.23784567490709704
1983-11-01,0.2372131800913467
1983-12-01,0.2365137966861445
1984-01-01,0.23569424233745329
1984-02-01,0.23491597423708213
1984-03-01,0.2343834758504513
1984-04-01,0.23402636470637211
1984-05-01,0.23370549430895832
1984-06-01,0.23334613621010405
1984-07-01,0.23289887568950668
1984-08-01,0.23233400730890966
1984-09-01,0.2317012552258917
1984-10-01,0.2310506385519681
1984-11-01,0.2304853816091138
1984-12-01,0.23014921952067938
1985-01-01,0.2300369885221688
1985-02-01,0.22998494621784704
1985-03-01,0.22990567446164478
1985-04-01,0.22981692723157912
1985-05-01,0.2297395362934527
1985-06-01,0.22965913927839143
1985-07-01,0.22953713062301273
1985-08-01,0.2293435622250585
1985-09-01,0.22909209609661488
1985-10-01,0.22884498567987951
1985-11-01,0.22862859301531477
1985-12-01,0.22843099594036836
1986-01-01,0.22821866987468667
1986-02-01,0.22796710248837926
1986-03-01,0.22770578811387548
1986-04-01,0.22751608966631953
1986-05-01,0.22744885327215802
1986-06-01,0.22748915427815417
1986-07-01,0.22759978155067198
1986-08-01,0.22777545870106544
1986-09-01,0.2280061000296906
1986-10-01,0.22828405632267854
1986-11-01,0.22861810420923617
1986-12-01,0.22903426886043493
1987-01-01,0.22954421383443058
1987-02-01,0.23011847281006653
1987-03-01,0.2307364340940484
1987-04-01,0.23139256268506256
1987-05-01,0.2320758692302295
1987-06-01,0.2327638289024403
1987-07-01,0.23345007853014305
1987-08-01,0.23413733891863078
1987-09-01,0.23483476164478234
1987-10-01,0.23555971909179682
1987-11-01,0.23631864734339825
1987-12-01,0.23709966041940683
1988-01-01,0.2378775243807599
1988-02-01,0.23855371216411692
1988-03-01,0.23904414785982614
1988-04-01,0.23935494299548948
1988-05-01,0.2395190878178623
1988-06-01,0.23957704379766775
1988-07-01,0.2395920574752283
1988-08-01,0.23961619919332
1988-09-01,0.23964510782389864
1988-10-01,0.23966401438399176
1988-11-01,0.239654195003819
1988-12-01,0.23956652507326184
1989-01-01,0.2394103439665003
1989-02-01,0.23926648480651497
1989-03-01,0.23917930304216975
1989-04-01,0.23910862719856632
1989-05-01,0.23901934334938152
1989-06-01,0.23891529652189525
1989-07-01,0.23880965362404033
1989-08-01,0.2386956504410671
1989-09-01,0.23856351140943824
1989-10-01,0.23840223975690952
1989-11-01,0.23819146001921768
1989-12-01,0.23792480957214251
1990-01-01,0.2375858687988802
1990-02-01,0.23719556013705761
1990-03-01,0.23680738952065375
1990-04-01,0.2364574482311364
1990-05-01,0.23616174412513666
1990-06-01,0.23592999716090965
1990-07-01,0.23575029065980135
1990-08-01,0.2355834328177085
1990-09-01,0.23539247648145975
1990-10-01,0.23518007932963855
1990-11-01,0.23496788247113506
1990-12-01,0.23477105354537472
1991-01-01,0.23465291460937224
1991-02-01,0.23466832315608824
1991-03-01,0.2348236998890703
1991-04-01,0.23508079469229853
1991-05-01,0.23538241621235617
1991-06-01,0.23567224296939734
1991-07-01,0.2359223524157316
1991-08-01,0.23616513975236145
1991-09-01,0.2364458932172903
1991-10-01,0.23677018289541307
1991-11-01,0.2371121205794513
1991-12-01,0.23742603148393143
1992-01-01,0.23765855659220675
1992-02-01,0.2377742141807983
1992-03-01,0.23776895602944376
1992-04-01,0.2376620586079726
1992-05-01,0.23750799939747724
1992-06-01,0.23735764853965807
1992-07-01,0.23723953599459463
1992-08-01,0.2371530521611337
1992-09-01,0.23709955564943955
1992-10-01,0.23706089584002824
1992-11-01,0.2370060881126885
1992-12-01,0.2369596866834311
1993-01-01,0.2369706660838712
1993-02-01,0.23707318481852474
1993-03-01,0.23726843221410904
1993-04-01,0.2375613598414181
1993-05-01,0.23791439203307557
1993-06-01,0.23826642505542614
1993-07-01,0.23860279282063235
1993-08-01,0.23892218334791063
1993-09-01,0.23921097240760475
1993-10-01,0.23948418049401865
1993-11-01,0.23975782520808545
1993-12-01,0.24003867512685706
1994-01-01,0.24031978274409976
1994-02-01,0.24056039672385726
1994-03-01,0.2407675919567991
1994-04-01,0.2409377724645765
1994-05-01,0.24103159014173536
1994-06-01,0.24103223225633472
1994-07-01,0.2409204832881101
1994-08-01,0.2407121603977876
1994-09-01,0.2404618099316465
1994-10-01,0.240199693091158
1994-11-01,0.2399291768916543
1994-12-01,0.2396367244483665
1995-01-01,0.2392067853998177
1995-02-01,0.23859298016094113
1995-03-01,0.23791762923464882
1995-04-01,0.23729716846012203
1995-05-01,0.2367692873584827
1995-06-01,0.23632559513098503
1995-07-01,0.23593241316029076
1995-08-01,0.23562359468824648
1995-09-01,0.2354427857201385
1995-10-01,0.23538014389536266
1995-11-01,0.2353824071350629
1995-12-01,0.2353903395778189
1996-01-01,0.23551621651997087
1996-02-01,0.23586749433585608
1996-03-01,0.2363555041850299
1996-04-01,0.2368228220608903
1996-05-01,0.23720640491851652
