,3
XLon,-140.875
YLat,62.7083333333
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,-0.010510966753706465
1984-02-01,-0.012721580233876553
1984-03-01,-0.013721434823493542
1984-04-01,-0.011709140138275983
1984-05-01,-0.012598838213409274
1984-06-01,-0.014458197405366385
1984-07-01,-0.03377198415656572
1984-08-01,-0.02962880549619496
1984-09-01,0.00028236258282752537
1984-10-01,-0.009511678417572616
1984-11-01,-0.023833424237821914
1984-12-01,-0.018247869472824568
1985-01-01,-0.01696816634797576
1985-02-01,-0.016464145106819657
1985-03-01,-0.015862260535270165
1985-04-01,-0.01560986152375149
1985-05-01,-0.024867811892558954
1985-06-01,-0.05561828600611701
1985-07-01,-0.037659300017883146
1985-08-01,0.11023137830978644
1985-09-01,0.10941516311732356
1985-10-01,0.13318702372482102
1985-11-01,0.2152891671461754
1985-12-01,0.17365239484864853
1986-01-01,0.17556912525891719
1986-02-01,0.1772386629000563
1986-03-01,0.17703765817163483
1986-04-01,0.17533780499900237
1986-05-01,0.17196097284792783
1986-06-01,0.1708362032212539
1986-07-01,0.1791641795091913
1986-08-01,0.2036278590304461
1986-09-01,0.21713885433462063
1986-10-01,0.23015687421203296
1986-11-01,0.22731219122205587
1986-12-01,0.2302257416169543
1987-01-01,0.23299369627551758
1987-02-01,0.22932345696711434
1987-03-01,0.22537940942583484
1987-04-01,0.2573542742664864
1987-05-01,0.3048933123614436
1987-06-01,0.3170250671974957
1987-07-01,0.24131592699395144
1987-08-01,0.2950098784479906
1987-09-01,0.2969375333295157
1987-10-01,0.29916776454970534
1987-11-01,0.19674396347550666
1987-12-01,0.19948174517491735
1988-01-01,0.19935537529713576
1988-02-01,0.19775405142449184
1988-03-01,0.197754994191452
1988-04-01,0.2001268722658349
1988-05-01,0.22648571419490424
1988-06-01,0.5357106954234866
1988-07-01,0.4776816475336433
1988-08-01,0.46627729520323175
1988-09-01,0.46972691818128837
1988-10-01,0.47672727200276205
1988-11-01,0.4764130442734487
1988-12-01,0.46591130512606727
1989-01-01,0.4660918686732292
1989-02-01,0.46525558111510823
1989-03-01,0.4648286021988222
1989-04-01,0.4676193937995893
1989-05-01,0.48100540671546016
1989-06-01,0.48580773638101094
1989-07-01,0.4875707850284662
1989-08-01,0.5091086823692919
1989-09-01,0.4540229836488043
1989-10-01,0.4155782563249079
1989-11-01,0.43483479021037263
1989-12-01,0.43375698233460647
1990-01-01,0.4304139122092028
1990-02-01,0.42792089385010224
1990-03-01,0.4274713143967952
1990-04-01,0.42717491109480854
1990-05-01,0.4336133313556106
1990-06-01,0.4212558681443955
1990-07-01,0.42068431380315396
1990-08-01,0.41511553968565257
1990-09-01,0.4359974909767765
1990-10-01,0.349244195684118
1990-11-01,0.3453302616752584
1990-12-01,0.34072518033173793
1991-01-01,0.34057840694676195
1991-02-01,0.34014080736843044
1991-03-01,0.33981875972102243
1991-04-01,0.3488405374948268
