,1
XLon,-123.041666667
YLat,62.7916666667
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,0.07053750355399485
1985-02-01,0.07196338523556765
1985-03-01,0.07219895641233039
1985-04-01,0.07260516397022528
1985-05-01,0.07486173303190388
1985-06-01,0.07675504311904045
1985-07-01,0.07852615630930748
1985-08-01,0.075516523423557
1985-09-01,0.06589443646887336
1985-10-01,0.10290058103079922
1985-11-01,0.03523450490688174
1985-12-01,0.03515515843843351
1986-01-01,0.034741912058437706
1986-02-01,0.03542435200139355
1986-03-01,0.0355681741976207
1986-04-01,0.0351384796185467
1986-05-01,0.036278650764385356
1986-06-01,0.03734399688105658
1986-07-01,0.04033677938111516
1986-08-01,0.05061576210425097
1986-09-01,0.04372310595902908
1986-10-01,0.04477788909872204
1986-11-01,0.054888071007904334
1986-12-01,0.0005874165053108039
1987-01-01,-0.007068283567865288
1987-02-01,-0.006557010065271689
1987-03-01,-0.007307923313742865
1987-04-01,-0.007565631733323877
1987-05-01,-0.005685443471265627
1987-06-01,-0.003928478711415421
1987-07-01,-0.003239794688695517
1987-08-01,-0.006490618689174414
1987-09-01,0.034375979007696324
1987-10-01,0.029230029055642308
1987-11-01,0.030900360388801434
1987-12-01,0.030975764907258868
1988-01-01,0.031205931657690276
1988-02-01,0.030797610748340712
1988-03-01,0.030510274054444297
1988-04-01,0.03868259930492824
1988-05-01,0.04350221287242138
1988-06-01,0.04430560622707284
1988-07-01,0.07530707764193043
1988-08-01,0.06770411043828028
1988-09-01,0.07192683792356258
1988-10-01,0.06269958635993855
1988-11-01,0.08935708933200387
1988-12-01,0.0874271949859604
1989-01-01,0.09385040817804842
1989-02-01,0.08348437890302866
1989-03-01,0.08358900989501938
1989-04-01,0.09007001800121131
1989-05-01,0.05372115346817478
1989-06-01,0.05421111634375553
1989-07-01,0.05426185099627894
1989-08-01,0.058434966153904325
1989-09-01,0.06568445353525432
1989-10-01,0.04036834518723546
1989-11-01,0.04033428681936804
1989-12-01,0.040529482227546355
1990-01-01,0.04082028173329305
1990-02-01,0.04153635554613442
1990-03-01,0.04026829705634271
1990-04-01,0.040712020303495876
1990-05-01,0.04144014046569643
1990-06-01,0.03235742354526942
1990-07-01,0.05843245723598027
1990-08-01,0.06257681626473882
1990-09-01,0.06817809081459261
1990-10-01,0.06576664331053923
1990-11-01,0.06448358922200356
1990-12-01,0.008410102208201244
1991-01-01,0.012124460514548248
1991-02-01,0.013828798660576597
1991-03-01,0.014202432190350674
1991-04-01,0.01421449214934273
1991-05-01,0.01425401770758283
1991-06-01,0.029485968026222775
1991-07-01,0.01821778466713787
1991-08-01,0.02438866808147262
1991-09-01,-0.009287867048531441
1991-10-01,0.05003626976272759
1991-11-01,0.049668286594168304
1991-12-01,0.04988423957168658
1992-01-01,0.04928230590107523
1992-02-01,0.04745729464359613
1992-03-01,0.04559209891286893
1992-04-01,0.04568220249998685
1992-05-01,0.045412130967810146
1992-06-01,0.04570602673356974
1992-07-01,0.04808239791742932
1992-08-01,0.055972301308755155
1992-09-01,0.06788222272455999
1992-10-01,-0.0015985160106355215
1992-11-01,-0.039729260710103506
1992-12-01,-0.03895064381092753
1993-01-01,-0.03992357696592815
1993-02-01,-0.03913778769468497
