,5
XLon,-122.958333333
YLat,62.7083333333
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,-0.03819971004027615
1985-02-01,-0.038188219949424236
1985-03-01,-0.038154856930181655
1985-04-01,-0.03816187068122653
1985-05-01,-0.03843979490446741
1985-06-01,-0.042099001215429775
1985-07-01,-0.039552252951986146
1985-08-01,-0.03962475216697791
1985-09-01,-0.036707712902404495
1985-10-01,-0.0019764897084574642
1985-11-01,-0.11621146982018848
1985-12-01,-0.0968645605832689
1986-01-01,-0.09688649396429044
1986-02-01,-0.09689157329668577
1986-03-01,-0.09689933986003763
1986-04-01,-0.09684490786524112
1986-05-01,-0.09738609123711404
1986-06-01,-0.1032285237965176
1986-07-01,-0.09267396552171529
1986-08-01,-0.08911304688943608
1986-09-01,-0.10194262505960403
1986-10-01,-0.07428919812294141
1986-11-01,-0.057015707560947995
1986-12-01,-0.055856002340363614
1987-01-01,-0.05585044036119928
1987-02-01,-0.05584915614693933
1987-03-01,-0.05584761545664687
1987-04-01,-0.05594151263398356
1987-05-01,-0.05514163531359731
1987-06-01,-0.05052142085445409
1987-07-01,-0.05213168686042551
1987-08-01,-0.05337359591495477
1987-09-01,-0.049893811795355764
1987-10-01,-0.06267306255807617
1987-11-01,-0.07606451899366787
1987-12-01,-0.07618118484465283
1988-01-01,-0.07606228953076626
1988-02-01,-0.07596955254890096
1988-03-01,-0.07582348477060584
1988-04-01,-0.07607414922857453
1988-05-01,-0.07727014021047936
1988-06-01,-0.0780659504407117
1988-07-01,-0.08064529500534377
1988-08-01,-0.0859519007078705
1988-09-01,-0.06131733452870983
1988-10-01,-0.030456144889596568
1988-11-01,-0.03965100035617986
1988-12-01,-0.04359935868033503
1989-01-01,-0.04323548408248297
1989-02-01,-0.04289460570425736
1989-03-01,-0.04259513088935016
1989-04-01,-0.04249333072946985
1989-05-01,-0.04143166864032358
1989-06-01,-0.05312553365718413
1989-07-01,0.04186977159556414
1989-08-01,0.032967043236710444
1989-09-01,0.03267649016658903
1989-10-01,0.04374768074697507
1989-11-01,0.23797716197128108
1989-12-01,0.16739274749768013
1990-01-01,0.16733060253915585
1990-02-01,0.16724655963818977
1990-03-01,0.1672061700963078
1990-04-01,0.167206160920465
1990-05-01,0.1672277309931837
1990-06-01,0.1665084995856327
1990-07-01,0.20796749458044972
1990-08-01,0.20643880948601415
1990-09-01,0.20373779551355034
1990-10-01,0.19913684550126845
1990-11-01,0.1978337178764304
1990-12-01,0.19773545998617403
1991-01-01,0.19774591973505937
1991-02-01,0.19778723053195157
1991-03-01,0.19779284345233208
1991-04-01,0.19750110072208882
1991-05-01,0.20248545578797492
1991-06-01,0.21059101203513395
1991-07-01,0.2104084307552427
1991-08-01,0.20674084943382864
1991-09-01,0.17767265562591822
1991-10-01,0.31499098539268894
1991-11-01,0.5662176310937757
1991-12-01,0.34830454511522757
1992-01-01,0.3482706571153117
1992-02-01,0.3482463378666851
1992-03-01,0.348204605806866
1992-04-01,0.34817504162643353
1992-05-01,0.3487644151651013
1992-06-01,0.342921845640428
1992-07-01,0.3168475625231151
1992-08-01,0.3166130350970982
1992-09-01,0.3170118767215265
1992-10-01,0.3067674515754908
1992-11-01,0.3156167487431474
1992-12-01,0.30525910576646126
1993-01-01,0.3052706247843937
1993-02-01,0.30528139309623165
1993-03-01,0.3052968029755904
1993-04-01,0.3052477711065835
1993-05-01,0.3062754324170834
1993-06-01,0.3096212828633003
1993-07-01,0.3200784007644449
1993-08-01,0.31576001522059444
1993-09-01,0.3151149794090606
1993-10-01,0.3140780554781579
1993-11-01,0.31406624134807043
1993-12-01,0.3140670550752029
1994-01-01,0.3140625835218664
1994-02-01,0.31405272261811745
1994-03-01,0.3140558201252058
1994-04-01,0.3140535380529084
1994-05-01,0.31398421120772746
1994-06-01,0.313872166939294
1994-07-01,0.31207417025100137
1994-08-01,0.29912855792951665
1994-09-01,0.3018814236623663
1994-10-01,0.2988220509268597
1994-11-01,0.3319723321756994
1994-12-01,0.2675641981537331
1995-01-01,0.2675475775852953
1995-02-01,0.2675107059975645
1995-03-01,0.26744080520007246
1995-04-01,0.2673628245940171
1995-05-01,0.2685425521043683
1995-06-01,0.251760455412879
1995-07-01,0.2645587169994952
1995-08-01,0.26429643063843583
1995-09-01,0.2602136842177016
1995-10-01,0.18278254400435445
1995-11-01,0.24889490816516527
1995-12-01,0.24365213006369643
1996-01-01,0.24367057837556674
1996-02-01,0.24335921252170645
1996-03-01,0.24294908041354457
1996-04-01,0.24306624521424441
1996-05-01,0.24136801010859513
1996-06-01,0.20554582212149836
1996-07-01,0.2364603579415659
1996-08-01,0.2333177697999798
1996-09-01,0.23634028392395526
1996-10-01,0.23674453611957735
1996-11-01,0.23673716039133286
1996-12-01,0.2367440461045889
1997-01-01,0.23671802566026626
1997-02-01,0.23671138744460904
1997-03-01,0.2366897518644079
1997-04-01,0.23655124163780938
1997-05-01,0.23633545136619474
1997-06-01,0.23614647196137878
1997-07-01,0.2363858614553124
1997-08-01,0.23579495829039496
1997-09-01,0.22703888368601266
1997-10-01,0.10151598876234424
1997-11-01,0.16807667538776325
1997-12-01,0.15789052298947867
1998-01-01,0.15786198394418144
1998-02-01,0.15783457471319878
1998-03-01,0.15776513891454658
1998-04-01,0.1575436270276605
1998-05-01,0.15337166379733458
1998-06-01,0.18463746881405216
1998-07-01,0.18539742942147025
1998-08-01,0.18753135389795628
1998-09-01,0.18833394390086514
1998-10-01,0.18792735357078216
1998-11-01,0.20508222783984234
1998-12-01,0.19813949590541535
1999-01-01,0.19802800824359876
1999-02-01,0.19802469631599318
1999-03-01,0.19826375367188845
1999-04-01,0.19838029190915882
1999-05-01,0.18692711826455952
1999-06-01,0.2251573673907032
1999-07-01,0.1824964053762937
1999-08-01,0.202973537603761
1999-09-01,0.2003895409625088
1999-10-01,0.20060119195146933
1999-11-01,0.20049900969219572
1999-12-01,0.20046827043795096
2000-01-01,0.20077088555468214
2000-02-01,0.19812235678327286
2000-03-01,0.19945296525112005
2000-04-01,0.19935194870267986
2000-05-01,0.1993413644383427
2000-06-01,0.19950919851727072
2000-07-01,0.20090823785602863
2000-08-01,0.1988151078263228
2000-09-01,0.19810326162588
2000-10-01,0.1800846016522662
2000-11-01,0.27947787665335094
2000-12-01,0.2811485764457327
2001-01-01,0.27334436766924003
2001-02-01,0.2734714289554695
2001-03-01,0.27355589521124196
2001-04-01,0.27265671193347873
2001-05-01,0.2891500870828661
2001-06-01,0.5192741706833077
2001-07-01,0.37287289635081694
2001-08-01,0.37416609532932316
2001-09-01,0.379803647456693
2001-10-01,0.3116901709740087
2001-11-01,0.43751581607710316
2001-12-01,0.34345882164440356
2002-01-01,0.34308237189186835
2002-02-01,0.34776823126842604
2002-03-01,0.3375070754964267
2002-04-01,0.3379358730170241
2002-05-01,0.3501067008066585
2002-06-01,0.3130027448101889
2002-07-01,0.32151600784263273
2002-08-01,0.3211708381297345
2002-09-01,0.3143966226967818
2002-10-01,0.3121595847168768
2002-11-01,0.026514283141093303
2002-12-01,0.027996810313049625
