,3
XLon,-140.875
YLat,62.7083333333
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,0.042483477397505374
1985-08-01,0.04096524243183051
1985-09-01,0.039152713172263945
1985-10-01,0.039718192618821965
1985-11-01,0.0469532017404172
1985-12-01,0.09310137232912083
1986-01-01,0.09977562240823398
1986-02-01,0.09849532308923467
1986-03-01,0.11372938525977254
1986-04-01,0.15486354512353193
1986-05-01,0.12106086000390419
1986-06-01,0.12107831292316097
1986-07-01,0.12108168795786671
1986-08-01,0.12079487229395686
1986-09-01,0.12135655687042055
1986-10-01,0.12235058331122116
1986-11-01,0.13155591699243416
1986-12-01,0.3475728144182395
1987-01-01,0.3492348609509311
1987-02-01,0.40546736307048037
1987-03-01,0.4266290064635631
1987-04-01,0.4240511282902801
1987-05-01,0.4315997783642791
1987-06-01,0.4246107577993318
1987-07-01,0.42458751661228694
1987-08-01,0.4243580280948295
1987-09-01,0.4244433020892008
1987-10-01,0.42453020720786044
1987-11-01,0.42441058645548574
1987-12-01,0.42452435246725945
1988-01-01,0.42450869332820323
1988-02-01,0.43233129261223735
1988-03-01,0.4143987863689383
1988-04-01,0.41874704569269744
1988-05-01,0.41991635381472214
1988-06-01,0.4208419686002721
1988-07-01,0.4204822820047467
1988-08-01,0.4192088258113185
1988-09-01,0.4190878787713372
1988-10-01,0.422314683562584
1988-11-01,0.4309296065086879
1988-12-01,0.4113164559124963
1989-01-01,0.3878981454885959
1989-02-01,0.40832754439551083
1989-03-01,0.4302234850463417
1989-04-01,0.3549435747941845
1989-05-01,0.343552326194889
1989-06-01,0.34088317600645196
1989-07-01,0.34086292677757996
1989-08-01,0.34085656779665147
1989-09-01,0.3408623364394199
1989-10-01,0.3408910567506513
1989-11-01,0.3426097307355731
1989-12-01,0.347967003247615
1990-01-01,0.3441363460131238
1990-02-01,0.345886736481851
1990-03-01,0.3486936106488024
1990-04-01,0.3572051567637803
1990-05-01,0.3570314779044375
1990-06-01,0.3572201649537634
1990-07-01,0.35743085261435054
1990-08-01,0.3562861354858652
1990-09-01,0.3562614497066878
1990-10-01,0.35718342186390184
1990-11-01,0.3690808473670036
1990-12-01,0.3369914636596191
1991-01-01,0.3360501138349277
1991-02-01,0.3364977015330928
1991-03-01,0.336867833861434
1991-04-01,0.35482071923033975
1991-05-01,0.30442693749159533
1991-06-01,0.2995762429648606
1991-07-01,0.2994022450174429
1991-08-01,0.299253383186404
1991-09-01,0.299146355518326
1991-10-01,0.2990808815251151
1991-11-01,0.29536629313259277
1991-12-01,0.2838060036536424
1992-01-01,0.2821137841923965
1992-02-01,0.27789400830449595
